parameter,value,unit,rationale,status
outage_prob_wildfire,0.1,probability,Industry standard for fire impact on power infrastructure,ASSUMPTION
outage_prob_tc,0.3,probability,Based on KEPCO grid vulnerability assessments,ASSUMPTION
outage_duration_wildfire,168,hours,Industry standard restoration time,ASSUMPTION
outage_duration_tc,168,hours,Industry standard for TC-related outages,ASSUMPTION
outage_duration_flood,168,hours,Extended restoration for flood damage,ASSUMPTION
outage_prob_flood,0.5,probability,High impact if flooding occurs,ASSUMPTION
damaging_wind_threshold,30,m_per_s,TC winds causing power infrastructure damage,ASSUMPTION
plant_elevation,10,meters,Samcheok Blue Power Plant elevation,VERIFIED
hours_per_year,8760,hours,Standard calendar year,VERIFIED
drought_capacity_derate_base,0.005,fraction,Baseline capacity derate from drought (0.5%); coastal seawater-cooled plant — lower than inland,VERIFIED
drought_efficiency_loss_base,0.002,fraction,Baseline efficiency loss from drought (0.2%); auxiliary systems and condensate quality,ASSUMPTION
drought_severe_multiplier,2.4,multiplier,Capacity derate multiplier for severe_drought scenario — emphasises drought above SSP5-8.5 baseline; applied on top of the standard drought channel,ASSUMPTION
